time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
7682.000000,-0.000000,-0.000000,1105.522263,814.401622,-1105.522263,-814.401622,-814.401622,1105.522263,814.401622,-1105.522263
7683.000000,-0.000000,-0.000000,1102.600003,821.411031,-1102.600003,-821.411031,-821.411031,1102.600003,821.411031,-1102.600003
7684.000000,-0.000000,-0.000000,1099.656434,828.404655,-1099.656434,-828.404655,-828.404655,1099.656434,828.404655,-1099.656434
7685.000000,-0.000000,-0.000000,1096.691697,835.382421,-1096.691697,-835.382421,-835.382421,1096.691697,835.382421,-1096.691697
7686.000000,-0.000000,-0.000000,1093.705933,842.344260,-1093.705933,-842.344260,-842.344260,1093.705933,842.344260,-1093.705933
7687.000000,-0.000000,-0.000000,1090.699285,849.290101,-1090.699285,-849.290101,-849.290101,1090.699285,849.290101,-1090.699285
7688.000000,-0.000000,-0.000000,1087.671893,856.219879,-1087.671893,-856.219879,-856.219879,1087.671893,856.219879,-1087.671893
7689.000000,-0.000000,-0.000000,1084.623900,863.133528,-1084.623900,-863.133528,-863.133528,1084.623900,863.133528,-1084.623900
7690.000000,-0.000000,-0.000000,1081.555447,870.030983,-1081.555447,-870.030983,-870.030983,1081.555447,870.030983,-1081.555447
7691.000000,-0.000000,-0.000000,1078.466675,876.912181,-1078.466675,-876.912181,-876.912181,1078.466675,876.912181,-1078.466675
7692.000000,-0.000000,-0.000000,1075.357726,883.777061,-1075.357726,-883.777061,-883.777061,1075.357726,883.777061,-1075.357726
7693.000000,-0.000000,-0.000000,1072.228742,890.625563,-1072.228742,-890.625563,-890.625563,1072.228742,890.625563,-1072.228742
7694.000000,-0.000000,-0.000000,1069.079865,897.457629,-1069.079865,-897.457629,-897.457629,1069.079865,897.457629,-1069.079865
7695.000000,-0.000000,-0.000000,1065.911235,904.273200,-1065.911235,-904.273200,-904.273200,1065.911235,904.273200,-1065.911235
7696.000000,-0.000000,-0.000000,1062.722995,911.072223,-1062.722995,-911.072223,-911.072223,1062.722995,911.072223,-1062.722995
7697.000000,-0.000000,-0.000000,1059.515285,917.854641,-1059.515285,-917.854641,-917.854641,1059.515285,917.854641,-1059.515285
7698.000000,-0.000000,-0.000000,1056.288247,924.620403,-1056.288247,-924.620403,-924.620403,1056.288247,924.620403,-1056.288247
7699.000000,-0.000000,-0.000000,1053.042021,931.369456,-1053.042021,-931.369456,-931.369456,1053.042021,931.369456,-1053.042021
7700.000000,-0.000000,-0.000000,1049.776750,938.101751,-1049.776750,-938.101751,-938.101751,1049.776750,938.101751,-1049.776750
7701.000000,-0.000000,-0.000000,1046.492572,944.817239,-1046.492572,-944.817239,-944.817239,1046.492572,944.817239,-1046.492572
7702.000000,-0.000000,-0.000000,1043.189630,951.515871,-1043.189630,-951.515871,-951.515871,1043.189630,951.515871,-1043.189630
7703.000000,-0.000000,-0.000000,1039.868063,958.197602,-1039.868063,-958.197602,-958.197602,1039.868063,958.197602,-1039.868063
7704.000000,-0.000000,-0.000000,1036.528012,964.862387,-1036.528012,-964.862387,-964.862387,1036.528012,964.862387,-1036.528012
7705.000000,-0.000000,-0.000000,1033.169616,971.510183,-1033.169616,-971.510183,-971.510183,1033.169616,971.510183,-1033.169616
7706.000000,-0.000000,-0.000000,1029.793015,978.140946,-1029.793015,-978.140946,-978.140946,1029.793015,978.140946,-1029.793015
7707.000000,-0.000000,-0.000000,1026.398349,984.754637,-1026.398349,-984.754637,-984.754637,1026.398349,984.754637,-1026.398349
7708.000000,-0.000000,-0.000000,1022.985757,991.351215,-1022.985757,-991.351215,-991.351215,1022.985757,991.351215,-1022.985757
7709.000000,-0.000000,-0.000000,1019.555377,997.930643,-1019.555377,-997.930643,-997.930643,1019.555377,997.930643,-1019.555377
7710.000000,-0.000000,-0.000000,1016.107350,1004.492882,-1016.107350,-1004.492882,-1004.492882,1016.107350,1004.492882,-1016.107350
7711.000000,-0.000000,-0.000000,1012.641812,1011.037897,-1012.641812,-1011.037897,-1011.037897,1012.641812,1011.037897,-1012.641812
7712.000000,-0.000000,-0.000000,1009.158901,1017.565653,-1009.158901,-1017.565653,-1017.565653,1009.158901,1017.565653,-1009.158901
7713.000000,-0.000000,-0.000000,1005.658757,1024.076117,-1005.658757,-1024.076117,-1024.076117,1005.658757,1024.076117,-1005.658757
7714.000000,-0.000000,-0.000000,1002.141515,1030.569257,-1002.141515,-1030.569257,-1030.569257,1002.141515,1030.569257,-1002.141515
7715.000000,-0.000000,-0.000000,998.607314,1037.045041,-998.607314,-1037.045041,-1037.045041,998.607314,1037.045041,-998.607314
7716.000000,-0.000000,-0.000000,995.056289,1043.503439,-995.056289,-1043.503439,-1043.503439,995.056289,1043.503439,-995.056289
7717.000000,-0.000000,-0.000000,991.488576,1049.944423,-991.488576,-1049.944423,-1049.944423,991.488576,1049.944423,-991.488576
7718.000000,-0.000000,-0.000000,987.904313,1056.367966,-987.904313,-1056.367966,-1056.367966,987.904313,1056.367966,-987.904313
7719.000000,-0.000000,-0.000000,984.303634,1062.774041,-984.303634,-1062.774041,-1062.774041,984.303634,1062.774041,-984.303634
7720.000000,-0.000000,-0.000000,980.686674,1069.162622,-980.686674,-1069.162622,-1069.162622,980.686674,1069.162622,-980.686674
7721.000000,-0.000000,-0.000000,977.053569,1075.533686,-977.053569,-1075.533686,-1075.533686,977.053569,1075.533686,-977.053569
7722.000000,-0.000000,-0.000000,973.404452,1081.887210,-973.404452,-1081.887210,-1081.887210,973.404452,1081.887210,-973.404452
7723.000000,-0.000000,-0.000000,969.739457,1088.223171,-969.739457,-1088.223171,-1088.223171,969.739457,1088.223171,-969.739457
7724.000000,-0.000000,-0.000000,966.058718,1094.541549,-966.058718,-1094.541549,-1094.541549,966.058718,1094.541549,-966.058718
7725.000000,-0.000000,-0.000000,962.362368,1100.842324,-962.362368,-1100.842324,-1100.842324,962.362368,1100.842324,-962.362368
7726.000000,-0.000000,-0.000000,958.650538,1107.125478,-958.650538,-1107.125478,-1107.125478,958.650538,1107.125478,-958.650538
7727.000000,-0.000000,-0.000000,954.923362,1113.390993,-954.923362,-1113.390993,-1113.390993,954.923362,1113.390993,-954.923362
7728.000000,-0.000000,-0.000000,951.180971,1119.638852,-951.180971,-1119.638852,-1119.638852,951.180971,1119.638852,-951.180971
7729.000000,-0.000000,-0.000000,947.423495,1125.869039,-947.423495,-1125.869039,-1125.869039,947.423495,1125.869039,-947.423495
7730.000000,-0.000000,-0.000000,943.651065,1132.081541,-943.651065,-1132.081541,-1132.081541,943.651065,1132.081541,-943.651065
7731.000000,-0.000000,-0.000000,939.863812,1138.276344,-939.863812,-1138.276344,-1138.276344,939.863812,1138.276344,-939.863812
7732.000000,-0.000000,-0.000000,936.061865,1144.453435,-936.061865,-1144.453435,-1144.453435,936.061865,1144.453435,-936.061865
7733.000000,-0.000000,-0.000000,932.245354,1150.612803,-932.245354,-1150.612803,-1150.612803,932.245354,1150.612803,-932.245354
7734.000000,-0.000000,-0.000000,928.414405,1156.754437,-928.414405,-1156.754437,-1156.754437,928.414405,1156.754437,-928.414405
7735.000000,-0.000000,-0.000000,924.569148,1162.878328,-924.569148,-1162.878328,-1162.878328,924.569148,1162.878328,-924.569148
7736.000000,-0.000000,-0.000000,920.709710,1168.984466,-920.709710,-1168.984466,-1168.984466,920.709710,1168.984466,-920.709710
7737.000000,-0.000000,-0.000000,916.836219,1175.072845,-916.836219,-1175.072845,-1175.072845,916.836219,1175.072845,-916.836219
7738.000000,-0.000000,-0.000000,912.948799,1181.143457,-912.948799,-1181.143457,-1181.143457,912.948799,1181.143457,-912.948799
7739.000000,-0.000000,-0.000000,909.047578,1187.196297,-909.047578,-1187.196297,-1187.196297,909.047578,1187.196297,-909.047578
7740.000000,-0.000000,-0.000000,905.132680,1193.231359,-905.132680,-1193.231359,-1193.231359,905.132680,1193.231359,-905.132680
7741.000000,-0.000000,-0.000000,901.204230,1199.248640,-901.204230,-1199.248640,-1199.248640,901.204230,1199.248640,-901.204230
7742.000000,-0.000000,-0.000000,897.262352,1205.248136,-897.262352,-1205.248136,-1205.248136,897.262352,1205.248136,-897.262352
7743.000000,-0.000000,-0.000000,893.307171,1211.229845,-893.307171,-1211.229845,-1211.229845,893.307171,1211.229845,-893.307171
7744.000000,-0.000000,-0.000000,889.338808,1217.193766,-889.338808,-1217.193766,-1217.193766,889.338808,1217.193766,-889.338808
7745.000000,-0.000000,-0.000000,885.357386,1223.139897,-885.357386,-1223.139897,-1223.139897,885.357386,1223.139897,-885.357386
7746.000000,-0.000000,-0.000000,881.363028,1229.068239,-881.363028,-1229.068239,-1229.068239,881.363028,1229.068239,-881.363028
